id_str,created_at,text,retweet_by,name,screen_name,profile_image_url,favorite_count,retweet_count,media_url
'604486369121992704',"Sat May 30 03:15:55 +0000 2015","On OROP- the Govt is committed to OROP &amp; there's no doubt about it. http://t.co/k2AdqpooFC",,"Narendra Modi",narendramodi,http://pbs.twimg.com/profile_images/454954067488288768/fU6NY-EI_normal.jpeg,15,14,
'604485976551858176',"Sat May 30 03:14:22 +0000 2015","I talk to 'The Tribune' on the economy, foreign policy, land bill, @makeinindia &amp; the roadmap ahead. http://t.co/Se28TzUvyy @thetribunechd",,"Narendra Modi",narendramodi,http://pbs.twimg.com/profile_images/454954067488288768/fU6NY-EI_normal.jpeg,90,75,
'604484897172942848',"Sat May 30 03:10:04 +0000 2015","OPINION | Modi’s stress on ‘civilisational ties’ in Asia is both promising and perilous, writes Dileep Padgaonkar
http://t.co/FWQaTGc7Xa",,"Times of India",timesofindia,http://pbs.twimg.com/profile_images/501345800736092162/D3PvZhP0_normal.jpeg,5,4,
'604479878671405057',"Sat May 30 02:50:08 +0000 2015","OPINION | Namami Gange is not just a religio-cultural obsession, it builds India’s infrastructure, writes Ashok Malik
http://t.co/bQP2eeXVVw",,"Times of India",timesofindia,http://pbs.twimg.com/profile_images/501345800736092162/D3PvZhP0_normal.jpeg,11,10,
'604477855087493123',"Sat May 30 02:42:05 +0000 2015","Indian economy grows at 7.3 per cent in 2014-15 | Read: http://t.co/hWdYY9VyHC http://t.co/mHJomByTZi",,"The Indian Express",IndianExpress,http://pbs.twimg.com/profile_images/1850193578/IE_Square_Logo_normal.png,22,11,http://pbs.twimg.com/media/CGLc8adW0AAWklH.jpg
'604476694183833600',"Sat May 30 02:37:29 +0000 2015","WORLD | Gunmen hijack buses in Pakistan, kill 19, take 25 hostage | Read: http://t.co/7sjqtz4Ajp http://t.co/M4MSytMApH",,"The Indian Express",IndianExpress,http://pbs.twimg.com/profile_images/1850193578/IE_Square_Logo_normal.png,18,6,http://pbs.twimg.com/media/CGOIWXkUIAAb0Da.jpg
'604474858592804865',"Sat May 30 02:30:11 +0000 2015","US opposes ‘any further militarisation’ of disputed South China Sea islands: Pentagon chief http://t.co/ByVFXda5x5 http://t.co/8HWZdncLTV",,"The Indian Express",IndianExpress,http://pbs.twimg.com/profile_images/1850193578/IE_Square_Logo_normal.png,9,6,http://pbs.twimg.com/media/CGOGrhEUYAEwIuO.jpg
'604474844906790913',"Sat May 30 02:30:08 +0000 2015","TOI Edit | Indian summer of scamnesia: Manmohan Singh shakes hands with an old foe, cognoscenti are confounded http://t.co/OR3rlNmolG",,"Times of India",timesofindia,http://pbs.twimg.com/profile_images/501345800736092162/D3PvZhP0_normal.jpeg,9,4,
'604459719072313344',"Sat May 30 01:30:02 +0000 2015","Touch this video and awesome stuff will happen. https://t.co/rpLMBd3SfM http://t.co/pFd8DDi2vF",,YouTube,YouTube,http://pbs.twimg.com/profile_images/594161567471636480/N1pw817W_normal.png,559,257,http://pbs.twimg.com/media/CGN46W6XEAAbDlv.png
'604451267516112897',"Sat May 30 00:56:26 +0000 2015","#ExpressFrontPage: CCTV footage shows Ramdev’s brother instigating attack: Police | Read here: http://t.co/suWhF3sHTs http://t.co/vLEiUrta03",,"The Indian Express",IndianExpress,http://pbs.twimg.com/profile_images/1850193578/IE_Square_Logo_normal.png,12,21,http://pbs.twimg.com/media/CGNxL98WwAALwwX.jpg
